publishedAt,title,description,url,source.name,author
2025-10-31 18:55:06+00:00,72 peaks. 31 days. One mountaineering legend: Kilian Jornet’s mind-blowing mountain marathon,Jornet did something this month that left even other elite athletes gasping.,https://www.bostonherald.com/2025/10/31/72-peaks-31-days-one-mountaineering-legend-kilian-jornets-mind-blowing-mountain-marathon/,Boston Herald,Tribune News Service
2025-10-28 09:03:17+00:00,Young shinty player trains at Everest Base Camp,The sport popular in the Highlands has hit new heights thanks to Fort Augustus boy Fergus Maclean.,https://www.bbc.com/news/articles/cp971e03l3xo,BBC News,
2025-10-21 13:00:10+00:00,"Transcript: Henry Ward, Carta Chief Executive Officer","The transcript from this week’s, MiB: Henry Ward, Carta Chief Executive Officer, is below. You can stream and download our full conversation, including any podcast extras, on Apple Podcasts, Spotify, YouTube, and Bloomberg. All of our earlier podcasts on your…",https://ritholtz.com/2025/10/transcript-henry-ward/,Ritholtz.com,Barry Ritholtz
2025-10-15 11:01:00+00:00,"National Geographic Documents Athlete Jim Morrison's Unprecedented, Historic Ski Descent on North Face of Mount Everest on October 15, 2025","National Geographic Documentary Films once again teams with Oscar and BAFTA Award-winning directors Chai Vasarhelyi and Jimmy Chin to film the exhilarating and heartbreaking odyssey for the upcoming documentary ""Everest North"" (wt).",http://www.thefutoncritic.com/news/2025/10/15/national-geographic-documents-athlete-jim-morrisons-unprecedented-historic-ski-descent-on-north-face-of-mount-everest-on-october-15-2025-873012/20251015ngc01/,Thefutoncritic.com,
2025-10-21 14:40:44+00:00,Mt. Whitney hikers love this Chinese restaurant pitstop that looks like a merry-go-round,"From the patio, diners can gaze at the jagged crown of the tallest mountain in the contiguous U.S.",https://www.bostonherald.com/2025/10/21/mt-whitney-hikers-love-this-chinese-restaurant-pitstop-that-looks-like-a-merry-go-round/,Boston Herald,Tribune News Service
2025-10-16 00:21:44+00:00,"Discover Mendoza, Argentina: Where the glass is always half full","Western Argentina’s Mendoza Province is the stuff of many oeno-tourists’ dreams: the very best in South American wines. Famed...
The post Discover Mendoza, Argentina: Where the glass is always half full appeared first on A Luxury Travel Blog.",https://www.aluxurytravelblog.com/2025/10/16/discover-mendoza-argentina-where-the-glass-is-always-half-full/,Aluxurytravelblog.com,Alfonso Tandazo
2025-11-04 00:00:00+00:00,The legendary West Highland Way is the best way to explore the Scottish Highlands,"Following old military roads through pine forests and barren moorland, hikers trace centuries of lore while experiencing a taste of local life.",https://www.nationalgeographic.com/travel/article/west-highland-way-scotland,National Geographic,@NatGeoTravel
2025-11-05 15:04:58+00:00,Matt Ferrari Exits TruAmerica to Start New Multifamily Investment Platform,"Matt Ferrari may have summited Mount Everest this year, but there’s no rest in sight quite yet, because he now has a mountain of a different kind to scale.  Ferrari has left his position as co-chief investment officer and head of East Coast acquisitions for T…",http://commercialobserver.com/2025/11/matt-ferrari-truamerica-pxv/,Commercial Observer,Cathy Cunningham
2025-10-27 20:10:14+00:00,The Best Video Cameras to Take On Long-Distance Backpacking,"It was sunset on top of the tallest mountain in the continental United States, and I had two immediate priorities. One was dinner. As a long-distance backpacker on the Pacific Crest Trail, I was burning between 4,000 and 6,000 calories a day, and losing too m…",https://petapixel.com/2025/10/27/the-best-video-cameras-to-take-on-long-distance-backpacking/,PetaPixel,Taylor Passofaro
2025-11-01 11:08:00+00:00,"What to Do in Portland, Oregon If You're Here for Business (2025)","Work, eat, and play like a local with this business traveler's guide. Discover Portland’s best hotels, coworking spaces, and hidden gems worth your time.",https://www.wired.com/story/the-wired-guide-to-portland-for-business-travelers/,Wired,Matthew Korfhage
